Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp class
17.2469.222 0.609422820052 0.887285011386 -0.010605919034 0.869234878652 1.85415488724 0.827363164359 0.382617238653 0.826748406296 -0.321415525114 0.713220516028 2
17.3076.164 0.337773914135 0.765376758598 -0.0218234158582 0.672699255316 3.0519180319 0.314831383245 0.4183183787 0.695010384855 -0.472994764398 0.780335196188 2
18.2483.95 0.567416979391 0.606015550636 -0.00698797966759 0.855669251103 3.39825713668 0.669234815421 0.368384313551 0.583115614547 -0.191390988372 0.963403697063 2
18.3445.4646 0.651936868157 0.95087443994 -0.014195788824 0.985215908295 1.74444817492 0.904869583774 0.360599102004 0.941376879788 -0.3793551263 0.97899532886 2
18.3446.4192 0.0679823201535 0.861683059049 -0.0166529530748 0.764665548153 12.7152161516 0.655684743832 0.437657425093 0.896846774454 -0.429614845938 0.841765835345 2
19.3574.89 0.114327473511 0.84885912698 -0.0122268311836 0.822546197947 5.32532104723 0.883963400028 0.369600997236 0.752539374128 -0.430893939394 0.961689744467 2
19.3817.109 0.210047991318 0.860224201977 -0.0122249782959 0.725563988717 4.86002349856 0.850691744817 0.409813663974 0.710684875592 -0.42760130719 0.980299282466 2
19.4306.88 0.681178087668 0.945308277708 -0.0114898107389 0.861669287376 2.95480088455 0.908387735576 0.293100075445 0.876479807765 0.0792283464567 0.967974826908 2
206.16717.81 0.119104017115 0.93051355844 -0.00782800504431 0.658525104934 9.0625190414 0.653373992773 0.337904383114 0.900623077623 -0.321271561772 0.795726523216 2
206.16943.1467 1.05019872923 0.894483113322 -0.00638199611756 0.995300057921 1.35830021096 0.770834266223 0.269259005048 0.928549668862 -0.463658682635 0.846845982392 2
206.17003.54 0.198710782592 0.928890823252 -0.012262423313 0.867377256614 9.19202130899 0.690493491042 0.398424956577 0.856219658066 -0.0279721549637 0.938558979532 2
207.16253.210 0.527460222911 0.788492227029 -0.0115307415695 0.718771930789 3.33363502618 0.376007539629 0.389430600518 0.552317232661 0.474030927835 0.963070868086 2
207.16256.307 0.256273217258 0.988679002228 -0.0159222735505 0.929526167415 3.39706391879 0.909951001853 0.276859191083 0.818067626954 -0.0657839879154 0.990130473677 2
207.16259.243 0.0455155951302 0.966376763121 -0.0236629594104 0.813222222633 7.24342009267 0.832357194561 0.417830512661 0.913496123472 -0.500203873598 0.835261798785 2
207.16309.362 1.66488454882 0.926383564182 -0.00792461667308 0.970189472434 0.251800414382 0.849257520581 0.128640971189 0.875285296921 -0.47822611465 0.869516017182 2
207.16369.202 0.266427804858 0.872181793984 -0.00720307718238 0.741446505897 3.85604953256 0.471730557904 0.420756239146 0.786726562877 -0.522156716418 0.781258624335 2
207.16370.107 0.260330128931 0.96997473355 -0.0121463685154 0.93991547862 4.62534804747 0.897827305033 0.201219345392 0.757471419761 0.707860489883 0.947515272466 2
207.16483.111 0.187916342073 0.996990744275 -0.00671243668411 0.955909578241 5.91625210801 0.791237234609 0.373718496696 0.849811635342 -0.174419527897 0.948045313325 2
208.15912.448 1.29708612569 0.875818623146 -0.0202910547735 0.940776466944 0.864191711364 0.782782724344 0.217786662096 0.817194504517 0.69054535975 0.994702452194 2
211.16249.191 0.796797521245 0.965564897142 -0.0123044831379 0.960626196888 1.84601341371 0.550150244266 0.336378845736 0.654195196271 -0.187015923567 0.988084870444 2
211.16301.73 0.160726365579 0.899610147216 -0.00897470352385 0.777322555479 3.37810755125 0.823059295681 0.410317362499 0.934576000371 -0.473252747253 0.911080721711 2
211.16419.222 0.639611792875 0.982958598105 -0.0150151000177 0.967742732634 1.6304733842 0.893887974069 0.219910476198 0.873247557652 0.421194638695 0.964330551964 2
211.16538.130 0.291953056623 0.912082753992 -0.00606029769685 0.719696979414 2.20791509615 0.76438267703 0.371880264508 0.865264664301 -0.366748110831 0.754970282828 2
211.16591.58 0.794835655987 0.974237436915 -0.0108414614935 0.978836686573 2.66464860414 0.855518565975 0.227973741264 0.736135061573 1.06280773606 0.992033958229 2
211.16766.157 0.707882573994 0.620836805014 -0.0194307440411 0.777495233444 1.79474259273 0.56581622873 0.420313208697 0.56845369819 -0.468471042471 0.982036340626 2
211.16816.33 0.464583876842 0.967101198864 -0.00954375037701 0.883418208194 2.53502113527 0.6518698805 0.380097931963 0.821384458131 -0.486273062731 0.987802811704 2
212.15675.121 0.325893365538 0.697313531878 -0.00882531562419 0.954341802832 4.86674281111 0.50444134111 0.413910862419 0.76378336085 -0.0497372262774 0.940194307591 2
212.15681.412 0.105201841405 0.924839477558 -0.0618771461058 0.905114584905 4.26502526796 0.820219413581 0.371913298105 0.947977335322 0.384488322718 0.980667389793 2
212.15734.4938 0.262357858784 0.750685706585 -0.0386975757687 0.911201037898 -1.57082284273 0.718009814544 0.318725349822 0.718379123626 0.639696335079 0.84773294044 2
212.15790.340 0.250645177486 0.806001347994 -0.0112750503097 0.900301871165 1.19843442191 0.721870857271 0.202596882663 0.744919654797 0.26535300207 0.876780693367 2
212.15843.58 0.171511796069 0.898329326778 -0.00833683100504 0.936586945459 -1.73411826819 0.584117148526 0.401763412751 0.890015042653 -0.345509635974 0.88863866635 2
212.15851.175 0.204725364465 0.96164546984 -0.00872740007373 0.9389723637 2.28169446509 0.619608518292 0.244060449782 0.90626455428 1.44031264637 0.671444214462 2
212.16020.57 0.0892325529618 0.910353934896 -0.00946771478421 0.489244534572 -1.74041114169 0.451683087786 0.373871320228 0.781074506208 -2.66695615866 0.707837263421 2
212.16071.186 0.702738782141 0.927435974296 -0.00813508438558 0.935250023695 -1.13366706295 0.723395058011 0.345245563017 0.895409691123 0.617266591676 0.742349636729 2
212.16076.102 0.308598363908 0.628108672406 -0.0145100360248 0.835318810757 1.69189427279 0.555032145567 0.367012646166 0.67119021971 -1.0444137931 0.745107675103 2
212.16076.3964 1.28238381782 0.933025631194 -0.0157056359178 0.969286845457 0.132723619611 0.837631501681 0.158540523487 0.78531395379 -1.74214413408 0.933385893584 2
213.15561.115 0.168444693801 0.920197356805 -0.00677438245209 0.820194857686 -0.067130968009 0.797777983629 0.397715919793 0.918682003388 -0.560708784597 0.684381380857 2
22.4873.3357 0.260150261613 0.947378912924 -0.00779918524572 0.86173995693 1.68039847318 0.706825100615 0.365803951327 0.849587979094 -1.09501060071 0.901903333358 2
24.2740.150 0.239486586171 0.750865421376 -0.0168231692763 0.467421802761 -0.235307765747 0.696670574735 0.430215058537 0.67768431 1.02359568733 0.653998967124 2
24.2741.38 0.786733425556 0.973172621754 -0.00423969904962 0.938987941131 1.20229641262 0.615848878444 0.287651983177 0.690913323781 -1.14664 0.896200502624 2
24.2853.51 0.167620079821 0.866793242953 -0.00890290344769 0.543223792558 0.231864266998 0.884098389957 0.430395219552 0.544488197034 -0.784920318725 0.833753631775 2
24.2854.74 0.374096056098 0.937329126396 -0.00793034721907 0.856624013737 0.367549295692 0.811330817024 0.276040037062 0.751227185691 -0.643781746032 0.919009418385 2
24.2854.92 0.127787515962 0.986304518067 -0.0104675841352 0.882098488512 5.27014027248 0.777696781418 0.406768623421 0.917191263888 0.244827586207 0.759336267795 2
24.2862.82 0.139427142497 0.850197208338 -0.0162369033854 0.75425923018 -2.71473431968 0.875671399586 0.399810231164 0.720164334248 -0.274736842105 0.876906957356 2
24.3105.48 0.110882556953 0.964112218052 -0.00937142311929 0.908155418363 -0.826394091979 0.735483426285 0.457125253553 0.93417422853 -0.557494791667 0.936481174452 2
5.4652.8060 0.257273542969 0.576022247941 -0.0127001199709 0.636134750438 2.78346034292 0.708312684967 0.441622878617 0.646878208872 -0.00169370330845 0.924711836724 2
53.3362.75 1.24541386865 0.945469149035 -0.0110622587478 0.874694675861 0.75595174845 0.57378363031 0.306762590347 0.451957431178 -1.91257 0.812671186525 2
55.3367.61 0.263638243734 0.957235637046 -0.00853956027492 0.88195441539 -0.0406531242153 0.750356117545 0.291627703105 0.73343784264 -1.28416611296 0.715739646257 2
55.3488.113 1.20130556513 0.987462894511 -0.0119835887773 0.970417444773 -0.171620204289 0.72318373878 0.232811742572 0.873682999305 -1.05958730159 0.731200244407 2
60.6984.54 1.79150197637 0.967623791293 -0.00448486846091 0.870892934152 0.528176787956 0.691806623665 0.115064406918 0.731352837134 0.640914979757 0.880957984993 2
